Age,Mobile Phone,Purchased
15,6334,0
28,6667,0
20,14334,0
21,19000,0
15,25334,0
21,19334,0
21,28000,0
25,50000,1
20,11000,0
28,21667,0
20,26667,0
26,17000,0
28,36000,0
18,6667,0
20,26334,0
21,18000,0
24,45000,1
24,29667,0
19,10667,0
14,14667,0
23,27667,0
28,7667,0
21,19334,0
19,18334,0
18,16000,0
22,26334,0
17,6000,0
25,39000,0
21,6667,0
20,29000,0
18,22000,0
25,40000,1
17,21000,0
24,22667,0
20,26667,0
19,9000,0
16,7667,0
26,37667,0
25,6000,0
27,37334,1
24,38667,0
20,5000,0
23,9334,0
23,27667,0
26,49667,1
15,7000,0
16,24000,0
20,11667,0
21,29667,0
20,28667,0
30,26667,0
31,23667,0
29,23667,0
20,30000,0
29,11000,0
17,18334,0
28,23667,0
23,49334,1
23,15667,0
16,29334,0
27,38334,0
20,39334,0
27,14334,0
27,24000,0
18,9334,0
28,15667,0
20,7334,0
19,7667,0
16,27334,0
26,13667,0
22,10667,0
19,28000,0
15,8667,0
23,14334,0
15,23334,0
22,29667,0
27,14334,0
24,26334,0
16,12000,0
20,26667,0
28,7334,0
28,13000,0
39,24667,0
31,44667,1
32,23667,0
46,33667,1
37,15667,0
44,43334,1
41,38000,0
32,47334,1
36,7334,0
38,32000,1
41,50000,1
28,19334,0
37,14334,0
48,36000,1
39,21667,0
32,26000,0
36,32000,0
47,47667,1
32,26667,0
28,30334,1
29,48000,1
48,34000,1
28,20000,0
29,17667,0
28,42000,1
44,44334,1
32,24000,0
33,26667,1
28,49000,1
31,14000,0
39,28667,1
36,26334,1
29,26667,0
36,27334,0
42,47667,1
33,49667,1
30,19667,0
40,29334,1
44,34667,1
32,24000,0
28,16667,0
45,40667,1
32,17334,0
28,32334,1
35,13000,0
29,17334,0
38,44667,1
29,48667,1
41,30000,1
32,24000,0
32,19000,0
46,31667,1
36,43667,1
28,48000,1
28,24000,0
38,30000,1
33,36000,1
32,25000,0
37,48000,1
32,20334,0
34,44334,0
47,25334,1
48,14000,1
31,35334,1
45,8667,1
45,24667,1
30,23667,0
39,29334,1
41,12667,1
40,12000,1
47,29334,1
28,20334,0
29,23334,1
41,7000,1
38,47000,0
29,31000,1
29,20667,0
38,46000,1
32,26334,0
29,26000,1
31,44667,1
39,29667,1
44,13000,1
29,25667,0
28,21000,0
33,24334,1
36,39000,1
38,24667,1
29,26334,1
32,20000,0
37,37667,1
30,16667,0
39,47000,1
31,26334,0
31,25000,1
43,34667,1
28,18334,0
36,10667,1
28,20000,0
41,46000,1
42,27334,1
32,17334,0
38,10000,1
38,43667,1
32,24000,0
37,35667,1
30,17000,0
38,39667,1
33,21667,0
32,21667,0
45,20000,1
28,18000,0
28,26334,0
34,43000,1
42,11334,1
37,16667,1
33,26334,0
