Cus_ID,Sex,Age,Income,Rating
301219,M,23,306555,44
301220,F,26,306555,91
301221,F,24,326992,7
301222,M,28,326992,87
301223,F,38,347429,45
301224,F,27,347429,86
301225,F,42,367866,7
301226,F,28,367866,106
301227,M,77,388303,4
301228,F,36,388303,81
301229,M,81,388303,16
301230,F,42,388303,111
301231,F,70,408740,17
301232,F,29,408740,87
301233,M,45,408740,15
301234,M,27,408740,89
301235,F,42,429177,40
301236,M,24,429177,74
301237,M,63,470051,33
301238,F,42,470051,110
301239,M,42,490488,40
301240,M,30,490488,82
301241,F,56,510925,6
301242,M,38,510925,82
301243,F,65,572236,16
301244,M,35,572236,92
301245,F,54,572236,36
301246,M,42,572236,69
301247,F,48,592673,35
301248,F,28,592673,98
301249,M,72,613110,5
301250,F,26,613110,82
301251,M,64,674421,5
301252,M,22,674421,104
301253,F,59,674421,16
301254,F,26,674421,91
301255,F,51,694858,20
301256,F,36,694858,82
301257,F,44,756169,30
301258,F,24,756169,84
301259,F,78,776606,40
301260,M,29,776606,104
301261,M,58,797043,41
301262,F,38,797043,69
301263,F,59,797043,32
301264,F,29,797043,73
301265,F,60,817480,62
301266,F,33,817480,53
301267,F,35,817480,48
301268,F,38,817480,48
301269,F,59,858354,59
301270,M,40,858354,68
301271,F,38,878791,61
301272,M,71,878791,68
301273,F,60,878791,51
301274,M,57,878791,46
301275,F,62,899228,56
301276,M,83,899228,52
301277,F,33,940102,58
301278,M,64,940102,52
301279,M,84,940102,63
301280,M,23,940102,62
301281,F,81,960539,59
301282,F,65,960539,67
301283,M,76,980976,58
301284,M,22,980976,67
301285,F,52,980976,56
301286,F,82,980976,54
301287,M,23,980976,67
301288,F,39,980976,53
301289,M,84,1001413,62
301290,F,57,1001413,48
301291,F,72,1021850,55
301292,F,72,1021850,63
301293,M,71,1103598,53
301294,M,32,1103598,61
301295,F,54,1103598,60
301296,M,48,1103598,54
301297,F,28,1103598,59
301298,F,59,1103598,48
301299,M,69,1103598,58
301300,M,46,1103598,62
301301,M,81,1103598,46
301302,F,56,1103598,50
301303,F,26,1103598,64
301304,M,58,1103598,52
301305,F,66,1164909,65
301306,F,27,1164909,62
301307,F,41,1185346,68
301308,F,60,1185346,52
301309,F,82,1205783,62
301310,M,22,1205783,46
301311,M,58,1226220,55
301312,F,48,1226220,45
301313,F,39,1226220,48
301314,M,29,1226220,59
301315,F,57,1226220,53
301316,F,33,1226220,56
301317,M,58,1246657,48
301318,M,24,1246657,55
301319,F,28,1267094,46
301320,F,59,1267094,54
301321,M,81,1267094,67
301322,M,32,1267094,62
301323,M,59,1267094,63
301324,F,26,1267094,48
301325,F,80,1287531,56
301326,M,65,1287531,52
301327,M,82,1287531,49
301328,M,80,1287531,54
301329,M,78,1287531,59
301330,F,23,1287531,61
301331,F,46,1307968,48
301332,M,23,1307968,52
301333,F,22,1328405,54
301334,F,23,1328405,56
301335,F,76,1328405,49
301336,F,59,1328405,67
301337,F,62,1369279,49
301338,F,60,1369279,64
301339,M,33,1369279,63
301340,F,46,1369279,45
301341,F,48,1410153,65
301342,M,47,1410153,102
301343,F,28,1430590,33
301344,F,38,1430590,87
301345,M,52,1451027,40
301346,M,48,1451027,107
301347,M,71,1451027,13
301348,M,46,1451027,84
301349,M,57,1451027,11
301350,M,47,1451027,84
301351,F,30,1471464,39
301352,F,38,1471464,80
301353,M,24,1491901,6
301354,F,35,1491901,99
301355,F,53,1491901,8
301356,M,39,1491901,82
301357,M,23,1512338,12
301358,F,42,1512338,81
301359,F,69,1532775,6
301360,M,39,1532775,105
301361,F,34,1553212,45
301362,F,39,1553212,98
301363,M,30,1573649,14
301364,M,34,1573649,109
301365,M,58,1573649,41
301366,F,39,1573649,83
301367,F,41,1594086,25
301368,M,41,1594086,101
301369,M,52,1594086,20
301370,M,47,1594086,99
301371,F,53,1594086,23
301372,F,46,1594086,86
301373,F,57,1594086,18
301374,F,33,1594086,100
301375,M,45,1594086,2
301376,F,36,1594086,88
301377,M,41,1594086,2
301378,F,36,1594086,82
301379,F,68,1614523,40
301380,F,35,1614523,93
301381,M,23,1655397,6
301382,F,38,1655397,105
301383,M,60,1737145,30
301384,F,44,1737145,84
301385,M,51,1757582,23
301386,F,40,1757582,107
301387,F,44,1778019,31
301388,M,39,1778019,71
301389,M,48,1778019,15
301390,M,34,1778019,84
301391,M,44,1778019,12
301392,M,44,1778019,104
301393,F,63,1798456,15
301394,F,36,1798456,97
301395,M,70,1798456,17
301396,M,33,1798456,78
301397,M,71,1900641,16
301398,M,42,1900641,101
301399,F,45,1982389,36
301400,F,39,1982389,97
301401,F,56,2002826,17
301402,F,35,2002826,99
301403,F,50,2023263,44
301404,M,36,2023263,109
301405,M,65,2064137,27
301406,M,34,2064137,77
301407,F,50,2105011,20
301408,F,44,2105011,96
301409,F,41,2105011,26
301410,M,39,2105011,78
301411,M,40,2309381,9
301412,F,46,2309381,102
301413,F,57,2452440,18
301414,F,42,2452440,89
301415,F,54,2575062,32
301416,M,39,2575062,83
301417,M,39,2799869,21
301418,M,36,2799869,93
